280006D5 = fx_character.fxl | fx_character_rooting_attack
12DEC751 = fx_halloween.fxl | jack_o_lantern_activate
08000BC1 = fx_live_events.fxl | winter_snowsim_children_ss2_pects
08000010 = fx_live_events_2.fxl | pvpzone20
2800096D = fx_object.fxl | fx_object_data_node_medium
28000A51 = fx_weapon.fxl | fx_weapon_semiauto_pistol1_muzzle_flash_silencer
280005ED = fx_character.fxl | viruscast_split__buff__middle
28000715 = fx_character.fxl | combat_rev9_components_energy_throw_righthand_flare
2800001C = fx_character.fxl | viruscast_split_restore_health_restore_health1_start
2800014C = fx_character.fxl | viruscast_split_ravager_ravager
28000188 = fx_character.fxl | viruscast_split_network_firewall_networkfirewall1
280001C8 = fx_character.fxl | viruscast_split_logic_blast_logicblast3_end
280001D6 = fx_character.fxl | viruscast_split_logic_barrage_logicbarrage_start
2800080E = fx_character.fxl | viruscast_split_destroyer_destroyer_middle
86000176 = fx_character.fxl | Cast_cast_virus_slide
2800087A = fx_character.fxl | viruscast_split_patcherdaemon2_patcherdaemon2_end
28000895 = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy4
280008CE = fx_character.fxl | viruscast_split_intense_attack_intense_attack_end
2800093D = fx_character.fxl | viruscast_split_group_repairs_grouprepairs5_end
28000961 = fx_character.fxl | viruscast_split_fixsimulacra_fixsimulacra
04000027 = fx_character.fxl | fx_character_generic_ability_upgold
2800083C = fx_cinematic.fxl | cinematic 2.1_merv_guns_left
12DEC780 = fx_cryptos.fxl | dialog_05_10_32059_01
12DEC789 = fx_cryptos.fxl | dialog_05_10_32068_01
12DEC791 = fx_cryptos.fxl | dialog_05_10_32076_02
12DEC792 = fx_cryptos.fxl | dialog_05_10_32077_01
58000044 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_IThinkYouAlreadyKnowTheAnswertoThat
58000094 = fx_dialog.fxl | Seraph_GROUPED MESSAGES_Seraph_Stops_Following
580000E6 = fx_dialog.fxl | Merovingian_GROUPED MESSAGES_Merovingian_Talks_About_Persephone
5800014E = fx_dialog.fxl | Niobe_Cell Phone_Niobe_ISentAddressToYou
58000220 = fx_dialog.fxl | Morpheus_Takes Item_Morpheus_YouHaveMyThanks
580002AC = fx_dialog.fxl | Persephone_Greets Enemy_Persephone_OhLookCompany
58000370 = fx_dialog.fxl | Flood_Graduation_AchievedRep127
7200000A = fx_dialog.fxl | StoryItems_NiobesGivesSomeHistory4
2200001A = fx_environmental.fxl | Lightning_Lightning_Spawner_Small_indoor
04000084 = fx_object.fxl | fx_object_ssr_gum
86000090 = fx_RichWorldSnds.fxl | Cars_Van_accel
28000416 = fx_weapon.fxl | fx_weapon_explosions_explosion_med_gascloud
2800062C = fx_character.fxl | fx_character_corruption
2800070D = fx_character.fxl | combat_rev9_components_energy_throw_leftfoot
2800006F = fx_character.fxl | viruscast_split_bolster_health_bolster_health1
280000E7 = fx_character.fxl | viruscast_split_upgrade_health_upgradehealth_end
28000124 = fx_character.fxl | viruscast_split_restore_health_restore_health2_start
280001CB = fx_character.fxl | viruscast_split_logic_blast_logicblast4_end
280001D9 = fx_character.fxl | viruscast_split_insidious_code_insidiouscode_middle
280007C9 = fx_character.fxl | viruscast_split_enhanced_dodge_enhanceddodge
280007D2 = fx_character.fxl | viruscast_split_efficiency_efficiency1_end
28000813 = fx_character.fxl | viruscast_split_destroy_resolve_destroyresolve1_start
86000178 = fx_character.fxl | Cast_cast_heal_slide
28000899 = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy5
28000941 = fx_character.fxl | viruscast_split_group_repairs_grouprepairs6_end
28000963 = fx_character.fxl | viruscast_split_extreme_healing_extremehealing_middle
28000984 = fx_character.fxl | viruscast_split_panicked_heal_panickedheal
12DEC78A = fx_cryptos.fxl | dialog_05_10_32069_01
12DEC793 = fx_cryptos.fxl | dialog_05_10_32078_01
58000098 = fx_dialog.fxl | Seraph_Misc Lines_Seraph_Yes
5800013A = fx_dialog.fxl | Niobe_Misc Lines_Niobe_No
580001E3 = fx_dialog.fxl | Merovingian_Talks about Persephone_Merovingian_SheIsTheMostBeautifulWomanIHaveEverSeen
580002A2 = fx_dialog.fxl | Persephone_Follows_Persephone_LeadTheWayITrustYouToProtectMe
580002A6 = fx_dialog.fxl | Persephone_Gives Item_Persephone_IHaveSomethingForYou
58000302 = fx_dialog.fxl | Seraph_Greets Enemy_Seraph_SoYouHaveArrived
58000306 = fx_dialog.fxl | Seraph_Being Attacked_Seraph_ThisIsMostUnwise
58000330 = fx_dialog.fxl | Niobe_Gives Item_Niobe_TakeThisPlease
86000148 = fx_environmental.fxl | Sounds_door_metal_light_open
DE000076 = fx_live_events.fxl | event_2_1_fly_virus_fly_virus
DE0000B6 = fx_live_events.fxl | Untitled FX
DE0000BB = fx_live_events.fxl | bomb_partial_defuse
08000012 = fx_live_events_2.fxl | pvpzone40
280009C1 = fx_object.fxl | fx_object_Interface_neighborhood_names_south_vauxton
4A000037 = fx_props.fxl | props_construct_windmill
4A0000E7 = fx_props.fxl | club_props_projected_patterns_white_spinner1
22000062 = fx_ui.fxl | Combat_Text_StatusText_Info
2800055C = fx_weapon.fxl | fx_weapon_submachinegun1_shell_eject
28000A52 = fx_weapon.fxl | fx_weapon_semiauto_pistol3_muzzle_flash_silencer
28000629 = fx_character.fxl | fx_character_multipartite_confuse
280006D4 = fx_character.fxl | fx_character_recall_team_member_phase_in
2800071D = fx_character.fxl | combat_rev9_components_precise_speed_lefthand
8600010A = fx_character.fxl | Emotes_kiss_1_female
28000070 = fx_character.fxl | viruscast_split_bolster_health_bolster_health2
280000F1 = fx_character.fxl | viruscast_split_ui_lag1_uilag1_start
28000128 = fx_character.fxl | viruscast_split_restore_health_restore_health3_start
2800015C = fx_character.fxl | viruscast_split_plague_zone_plaguezone1_middle
28000168 = fx_character.fxl | viruscast_split_personal_firewall_personalfirewall1_middle
280007FB = fx_character.fxl | viruscast_split_logic_blast_logicblast5_end
280001FC = fx_character.fxl | viruscast_split_hacker_hacker_end
28000220 = fx_character.fxl | viruscast_split_freeze_system_freezesystem1_end
280007B2 = fx_character.fxl | viruscast_split_fast_healing_fasthealing1_end
86000177 = fx_character.fxl | Cast_cast_code_slide
2800087E = fx_character.fxl | viruscast_split_patcherdaemon3_patcherdaemon3_end
28000945 = fx_character.fxl | viruscast_split_proxymaster_proxymaster_end
1246316F = fx_character.fxl | combat_rev9_components_powershot_rightleg
280006CC = fx_cinematic.fxl | cinematic 1.2_cigarette_mouth_smoke
12DEC794 = fx_cryptos.fxl | dialog_05_10_32079_01
580000C9 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_PersephoneAngry
580001F9 = fx_dialog.fxl | Morpheus_Greets Enemy_Morpheus_WhyAreYouHere
580001FD = fx_dialog.fxl | Morpheus_Follows_Morpheus_LeadOn
58000217 = fx_dialog.fxl | Morpheus_Greets Enemy_Morpheus_ICantSayImHappyToSeeYou
58000244 = fx_dialog.fxl | Oracle_Greets Enemy_Oracle_IKnewYouWereComing
58000381 = fx_dialog.fxl | Lock_Graduation_AchievedRep16
86000006 = fx_environmental.fxl | Lightning_Lightning_Large_0_indoor
040000CA = fx_npc.fxl | oligarchs_spawns_execcastmain
2800058E = fx_object.fxl | Traps_laserhall_red_4m_off
22000659 = fx_object.fxl | fx_object_hacker_view_char_fx
2800096B = fx_object.fxl | fx_object_data_node_tiny
860000DD = fx_props.fxl | props_sounds_washer
2800077C = fx_props.fxl | props_bonfire
4A0000E8 = fx_props.fxl | club_props_projected_patterns_white_spinner2
2800055D = fx_weapon.fxl | fx_weapon_submachinegun2_shell_eject
04000050 = fx_weapon.fxl | fx_weapon_semiauto_pistol4_muzzle_flash_silencer
B000000F = fx_winter.fxl | partyhats_flying_confetti_1
280005EB = fx_character.fxl | fx_character_buffer_overflow_cast
28000051 = fx_character.fxl | viruscast_split_confuse_confuse_start
2800005B = fx_character.fxl | viruscast_split_firewall_firewall1_end
28000071 = fx_character.fxl | viruscast_split_bolster_health_bolster_health3
28000087 = fx_character.fxl | viruscast_split_code_flux_codeflux
280000B3 = fx_character.fxl | viruscast_split_code_shock_codeshock_middle
280000E1 = fx_character.fxl | viruscast_split_vector_vector_start
280000EC = fx_character.fxl | viruscast_split_upgrade_attacks_upgradeattacks_middle
280000F6 = fx_character.fxl | viruscast_split_ui_lag1_uilag2_start
2800012C = fx_character.fxl | viruscast_split_restore_health_restore_health4_start
28000160 = fx_character.fxl | viruscast_split_plague_zone_plaguezone2_middle
2800016E = fx_character.fxl | viruscast_split_personal_firewall_personalfirewall2_middle
280001D1 = fx_character.fxl | viruscast_split_logic_blast_logicblast6_end
28000797 = fx_character.fxl | viruscast_split_freeze_system_freezesystem2_end
280007B6 = fx_character.fxl | viruscast_split_fast_healing_fasthealing2_end
280007FF = fx_character.fxl | viruscast_split_white_noise_whitenoise_end
280008C4 = fx_character.fxl | viruscast_split_stunpulse_stunpulse_start
580000E5 = fx_dialog.fxl | Morpheus_GROUPED MESSAGES_Morpheus_Confronts_Following_Machine_Player
5800017E = fx_dialog.fxl | Persephone_Misc Lines_Persephone_LeavingToVisitMother
58000247 = fx_dialog.fxl | Oracle_Offers Cookie_Oracle_WantACookie
5800028E = fx_dialog.fxl | Persephone_Asks for Kiss_Persephone_IfYouWantSomethingFromMeYouHaveToGiveMe
580002DC = fx_dialog.fxl | Sati_Arrives at Spot_Sati_YoureSoKindToBringMeHere
580002FA = fx_dialog.fxl | Sati_Stops Following_Sati_IllStayHerePleaseComeBackSoon
580002FF = fx_dialog.fxl | Seraph_Takes Item_Seraph_ThankYou
86000007 = fx_environmental.fxl | Lightning_Lightning_Large_1_indoor
8600005E = fx_footsteps.fxl | fx_footsteps_Footsteps_Metal_Left
DE00008A = fx_live_events.fxl | event_2_1_fb_boss_corrupted_children_fb_lfoot
2800073E = fx_object.fxl | fx_object_light_glare_light_glare_white
280009AF = fx_object.fxl | fx_object_Interface_neighborhood_names_kowloon
04000082 = fx_object.fxl | fx_object_overrideorb
4A0000E9 = fx_props.fxl | club_props_projected_patterns_white_spinner3
860001A5 = fx_sound_ambient.fxl | World Const_Sakura 0
860001AB = fx_sound_ambient.fxl | World Int_Dungeon Warehouse 0
B0000012 = fx_winter.fxl | partyhats_flying_confetti_2
280005B6 = fx_character.fxl | fx_character_ninja_vanish
2800062D = fx_character.fxl | fx_character_multipartite_corruption
2800063C = fx_character.fxl | fx_character_health_regeneration
2800005E = fx_character.fxl | viruscast_split_firewall_firewall2_end
280000D8 = fx_character.fxl | viruscast_split_weapons_boost_weaponsboost_start
28000130 = fx_character.fxl | viruscast_split_restore_health_restore_health5_start
2800079B = fx_character.fxl | viruscast_split_freeze_system_freezesystem3_end
28000806 = fx_character.fxl | viruscast_split_delete_upgrade_deleteupgrade1_middle
28000847 = fx_character.fxl | viruscast_split_daemonboost_daemonboost1_start
28000925 = fx_character.fxl | viruscast_split_group_heal_groupheal1_end
28000994 = fx_character.fxl | viruscast_split_avoidance_avoidance
28000A79 = fx_character.fxl | fx_character_zen_master
28000695 = fx_cinematic.fxl | cinematic 1.1_cookie_satihand
58000096 = fx_dialog.fxl | Seraph_Misc Lines_Seraph_BadFeelingAboutThis
580000B4 = fx_dialog.fxl | Merovingian_GROUPED MESSAGES_Merovingian_Arrives_At_Spot
580000D4 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_Foutredieu
5800013F = fx_dialog.fxl | Niobe_Misc Lines_Niobe_YoureWelcome
58000180 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_IHateThisPlace
580001CC = fx_dialog.fxl | Merovingian_Requests Task_Merovingian_IHaveATaskForYouOfGreatImportanceToMe
580001D1 = fx_dialog.fxl | Merovingian_Speaks to New Recruit_Merovingian_CauseAndEffect
580001ED = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_IAmTheMostPowerfulExileInTheMatrix
5800023E = fx_dialog.fxl | Oracle_Greets Ally_Oracle_MyGoodnessHowLongHasItBeen
58000285 = fx_dialog.fxl | Persephone_Speaks to New Recruit_Persephone_Congratulations
58000380 = fx_dialog.fxl | Lock_Graduation_AchievedRep81
860000D1 = fx_footsteps.fxl | fx_footsteps_Lands_concrete
08000BBF = fx_live_events.fxl | winter_snowsim_children_ss2_lfoot
280009A9 = fx_object.fxl | fx_object_Interface_neighborhood_names_historic_district
280009C0 = fx_object.fxl | fx_object_Interface_neighborhood_names_sobra_shores
4A0000EA = fx_props.fxl | club_props_projected_patterns_white_spinner4
4A000105 = fx_props.fxl | club_props_spotlights_angled_stationary_3m_orange
B0000014 = fx_winter.fxl | partyhats_flying_confetti_3
860000F6 = fx_character.fxl | Emotes_takepill
28000061 = fx_character.fxl | viruscast_split_firewall_firewall3_end
280000E4 = fx_character.fxl | viruscast_split_upgrade_master_upgrademaster_middle
28000134 = fx_character.fxl | viruscast_split_restore_health_restore_health6_start
280001EF = fx_character.fxl | viruscast_split_improved_hacking_improvedhacking
2800080B = fx_character.fxl | viruscast_split_delete_upgrade_deleteupgrade2_middle
2800084B = fx_character.fxl | viruscast_split_daemonboost_daemonboost2_start
28000884 = fx_character.fxl | viruscast_split_powerboost_powerboost_start
280008C9 = fx_character.fxl | viruscast_split_enrage_enrage1
28000976 = fx_character.fxl | viruscast_split_engagefoes_engagefoes_start
12463177 = fx_character2.fxl | code_shaper_ability_code_shaper_cast
58000043 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_DoYouThinkThatsAGoodIdea
58000185 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_BeCareful
58000186 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_TheyAreStupidButDeadly
580001E1 = fx_dialog.fxl | Merovingian_Talks about Persephone_Merovingian_IfIHadKnownThenWhatIKnowNow
580001FF = fx_dialog.fxl | Morpheus_Confronts Following Machine Player_Morpheus_DoingTheWorkOfAnAgentTraitor
5800038D = fx_dialog.fxl | Persephone_Graduation_AchievedRep127
86000143 = fx_environmental.fxl | Sounds_door_sliding_close
124630C1 = fx_GoldenTickets.fxl | Glasses_Upgrade_activate_OLD_Glasses_Upgrade
86000197 = fx_handcombat.fxl | fx_handcombat_twin_slice
1246312D = fx_live_events_2.fxl | live_event_2_3_Fly_Infestation_fly_loot_component
28000771 = fx_object.fxl | GameObjects_pda
4A0000EB = fx_props.fxl | club_props_projected_patterns_white_spinner5
28000550 = fx_weapon.fxl | fx_weapon_bullet_shell
B0000015 = fx_winter.fxl | partyhats_flying_confetti_4
280004A1 = fx_character.fxl | fx_character_impaired_connection
2800061C = fx_character.fxl | fx_character_delete_upgrade
2800085F = fx_character.fxl | viruscast_split_fortifysimulacra_fortifysimulacra_middle
280008CA = fx_character.fxl | viruscast_split_enrage_enrage2
28000A18 = fx_character.fxl | viruscast_split_staticbarrage_staticbarrage1_start
28000A42 = fx_character.fxl | area_effects_debuff
04000047 = fx_character.fxl | signal_boost_single_old
28000A81 = fx_cinematic.fxl | cinematic 5.1_shell_eject_shell_eject
5800003C = fx_dialog.fxl | Oracle_Misc Lines_Oracle_NoThatsNotRight
580000C8 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_YouBastard
58000125 = fx_dialog.fxl | Morpheus_Misc Lines_Morpheus_ThatsCorrect
5800012E = fx_dialog.fxl | Niobe_GROUPED MESSAGES_Niobe_Greets_Ally
5800015E = fx_dialog.fxl | Morpheus_GROUPED MESSAGES_Morpheus_Warns_Threatening_Player
580001FB = fx_dialog.fxl | Morpheus_Gives Message for Oracle_Morpheus_ThisMessageIsVeryimportant
58000281 = fx_dialog.fxl | Persephone_Thanks for Assistance_Persephone_ThankYou
5800028F = fx_dialog.fxl | Persephone_Arrives at Spot_Persephone_ThisIsThePlace
580002AB = fx_dialog.fxl | Persephone_Greets Ally_Persephone_AboutTimeYouGotHere
580002CA = fx_dialog.fxl | Persephone_Thanks for Assistance_Persephone_ThankYouForHelpingMe
860000B7 = fx_environmental.fxl | Sounds_wallsafe_panel_close
86000146 = fx_environmental.fxl | Sounds_door_metal_heavy_open
DE000009 = fx_live_events.fxl | event_1_1_agent_anderson_gm_1
12463140 = fx_live_events_2.fxl | live_event_2_3_Assassin_death_children_c_v1_head_death_v3_1
B000000A = fx_live_events_2.fxl | CryptosBox_closing_1
2800065E = fx_object.fxl | Traps_laserdoordouble_green_off
8600008D = fx_object.fxl | fx_object_lightswitch_on
4A0000EC = fx_props.fxl | club_props_projected_patterns_white_spinner6
4A000126 = fx_props.fxl | garbage_can_flies_1
86000094 = fx_RichWorldSnds.fxl | Cars_Sedan_accel
28000A53 = fx_weapon.fxl | fx_weapon_shotgun1_muzzle_flash_silencer
28000609 = fx_character.fxl | hacker_health_targetbase
2800063D = fx_character.fxl | fx_character_multipartite_health_regeneration
280000DC = fx_character.fxl | viruscast_split_viral_shielding_viralshielding_middle
2800010D = fx_character.fxl | viruscast_split_standoff_standoff_start
280008CB = fx_character.fxl | viruscast_split_enrage_enrage3
28000A1C = fx_character.fxl | viruscast_split_staticbarrage_staticbarrage2_start
5800012C = fx_dialog.fxl | Niobe_GROUPED MESSAGES_Niobe_Thanks_For_Assistance
8600014C = fx_environmental.fxl | Sounds_door_vault_close
1246313F = fx_live_events_2.fxl | live_event_2_3_Assassin_death_c_v3_death_1
B000000B = fx_live_events_2.fxl | CryptosBox_opening_1
4A0000ED = fx_props.fxl | club_props_projected_patterns_white_spinner7
4A00010B = fx_props.fxl | club_props_spotlights_angled_stationary_6m_orange
860001B9 = fx_sound_ambient.fxl | World Int_Dungeon Aprt 0
28000A54 = fx_weapon.fxl | fx_weapon_shotgun2_muzzle_flash_silencer
04000035 = fx_winter.fxl | partyhats_flying_confetti_1_gold
280004AC = fx_character.fxl | invisiblity_self_ramp_down
28000639 = fx_character.fxl | fx_character_health_boost
280006B2 = fx_character.fxl | fx_character_extended_synaptic_kick
8600015E = fx_character.fxl | Cast_cast_slide
28000048 = fx_character.fxl | viruscast_split_aikido_simulacra_aikido_simulacra_end
2800011B = fx_character.fxl | viruscast_split_revitalize_rsi_revitalize_rsi
2800011C = fx_character.fxl | viruscast_split_restore_rsi_restore_rsi_end
28000141 = fx_character.fxl | viruscast_split_recall_teammember_recall_teammember_end
2800018B = fx_character.fxl | viruscast_split_negative_condition_sweep_negconsweep1_start
28000802 = fx_character.fxl | viruscast_split_devastation_field_devastationfield_start
280009D6 = fx_character.fxl | fx_character_hyperstrength_lefthand
280009DE = fx_character.fxl | viruscast_split_crash_crash_end
08000004 = fx_character2.fxl | hyperjump_trails_hjtrail_right_foot
5800007E = fx_dialog.fxl | Oracle_Misc Lines_Oracle_ThatsReallyUpToYou
5800001C = fx_dialog.fxl | Seraph_Misc Lines_Seraph_YouHaveAnotherPieceOfThePuzzle
580000BD = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_FloodWillGiveYouInfo
58000229 = fx_dialog.fxl | Oracle_Offers Cookie_Oracle_Cookie
040000CB = fx_npc.fxl | oligarchs_spawns_execcastleft
4A0000EE = fx_props.fxl | club_props_projected_patterns_white_spinner8
860001AE = fx_sound_ambient.fxl | World Int_Dungeon School Spawner
2800043F = fx_weapon.fxl | fx_weapon_bullet_trail_spawner
280000EF = test.fxl | Test FX_enter_the_matrix
280005E0 = fx_character.fxl | fx_character_confuse_cast
28000016 = fx_character.fxl | viruscast_split_logic_bomb_logicbomb1_start
28000020 = fx_character.fxl | viruscast_split__debuff__middle
28000091 = fx_character.fxl | viruscast_split_code_infection_code_infection1_end
28000190 = fx_character.fxl | viruscast_split_negative_condition_sweep_negconsweep2_start
280007DC = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs1_start
2800066F = fx_cinematic.fxl | cinematic 1.1_cookie_oraclehand
28000774 = fx_cinematic.fxl | character_creation_trace_program
58000059 = fx_dialog.fxl | Merovingian_Cell Phone_Merovingian_IfYouAreInterestedInAJob
58000115 = fx_dialog.fxl | Sati_Misc Lines_Sati_No
580001A8 = fx_dialog.fxl | Merovingian_Graduation_FinishedSeduction
580001C4 = fx_dialog.fxl | Merovingian_Gives Message for Persephone_Merovingian_ThisIsForMyWifePersephone
580001FA = fx_dialog.fxl | Morpheus_Greets Ally_Morpheus_ImGladYoureHereMyFriend
5800023F = fx_dialog.fxl | Oracle_Greets Ally_Oracle_WellLookAtyouReadyToTakeOnTheWorld
5800029B = fx_dialog.fxl | Persephone_Flirts_Persephone_MyHusbandDoesNotUnderstandWhyYoureSpecialButI
580002D6 = fx_dialog.fxl | Sati_Gives Item_Sati_TakeThisPlease
5800031C = fx_dialog.fxl | Seraph_Greets Enemy_Seraph_IDontHaveToAskWhyYouveCome
20000026 = fx_environmental.fxl | Sounds_smdrawer_open
860000C2 = fx_environmental.fxl | Sounds_cashregister_classic_open
DE00008C = fx_live_events.fxl | event_2_1_fb_boss_corrupted_children_fb_rfoot
2800048C = fx_object.fxl | fx_object_traffic_lights_2l2w_red
860000DB = fx_props.fxl | props_sounds_toilet
2800091D = fx_weapon.fxl | fx_weapon_knife_throw_impeding_attack
28000707 = fx_character.fxl | combat_rev9_components_energy_speed_lefthand_flare
28000729 = fx_character.fxl | combat_rev9_components_powershot_rightarm
28000098 = fx_character.fxl | viruscast_split_code_infection_code_infection2_end
2800013E = fx_character.fxl | viruscast_split_rejuvenate_rsi_rejuvenate_rsi_middle
280001AF = fx_character.fxl | viruscast_split_logic_bomb_logicbomb2_start
280001F0 = fx_character.fxl | viruscast_split_harmful_code_harmfulcode1_end
280007E0 = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs2_start
280008B0 = fx_character.fxl | viruscast_split_staticblast_staticblast1_start
28000A10 = fx_character.fxl | viruscast_split_code_nuke_codenuke2_start
5800013D = fx_dialog.fxl | Niobe_Misc Lines_Niobe_ISee
580001BF = fx_dialog.fxl | Merovingian_Gives Item_Merovingian_KeepThisSafe
580002E4 = fx_dialog.fxl | Sati_Being Attacked_Sati_LeaveMeAlone1
58000333 = fx_dialog.fxl | Niobe_Arrived at Spot_Niobe_ThisIstIt
0600000B = fx_environmental.fxl | Sounds_filecab_open
860000C5 = fx_footsteps.fxl | fx_footsteps_Ladder_metal_ladder_left_foot
12463184 = fx_halloween.fxl | jack_o_lantern_fog
08000BC3 = fx_live_events.fxl | winter_snowsim_children_ss2_rfoot
04000076 = fx_npc.fxl | oligarchs_spawns_shellterminator
040000B9 = fx_npc.fxl | oligarchs_spawns_activesignaljamming
2800048F = fx_object.fxl | fx_object_traffic_lights_2l2w_yellow
28000673 = fx_object.fxl | Club_moving_light1
8600010B = fx_object.fxl | fx_object_Usable_pick_lock
040000B2 = fx_object.fxl | fx_object_Searchlight_sleep_open3
04000094 = fx_Pandoras_Box.fxl | Box_kuno_opening
22000068 = fx_ui.fxl | Combat_Text_CombatText_Info_Purple
280006A3 = test.fxl | Test FX_skeletal_test
28000427 = fx_character.fxl | fx_character_disconnected_player
28000494 = fx_character.fxl | fx_character_poly_trail
280005B7 = fx_character.fxl | fx_character_ninja_reappear
280005E9 = fx_character.fxl | fx_character_corruption_cast
2800063A = fx_character.fxl | fx_character_multipartite_health_boost
8600013A = fx_character.fxl | fx_character_gaussian_blur_activate
2800009B = fx_character.fxl | viruscast_split_code_infection_code_infection3_end
280001B3 = fx_character.fxl | viruscast_split_logic_bomb_logicbomb3_start
280001F5 = fx_character.fxl | viruscast_split_harmful_code_harmfulcode2_end
280007E4 = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs3_start
2800088B = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy1_middle
280008B4 = fx_character.fxl | viruscast_split_staticblast_staticblast2_start
28000A14 = fx_character.fxl | viruscast_split_code_nuke_codenuke3_start
5800001A = fx_dialog.fxl | Seraph_Misc Lines_Seraph_IBetrayedOneWhoIServed
580001EC = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_BeforeYouJoinWithAnotherOrgThinkCarefully
580002D1 = fx_dialog.fxl | Persephone_Warns Threatening Player_Persephone_TheresNothingYouCanDoToFrightenMeAfterWhatIveSeen
580002E3 = fx_dialog.fxl | Sati_Being Attacked_Sati_LeaveMeAlone2
8600013E = fx_environmental.fxl | Sounds_door_wood_light_close
12463110 = fx_GoldenTickets.fxl | Healing_gift_healing_invul
28000474 = fx_object.fxl | fx_object_traffic_lights_4l2w_red
280004F9 = fx_object.fxl | fx_object_luggable_aura
2800054B = fx_object.fxl | fx_object_Interface_gender_target
28000674 = fx_object.fxl | Club_moving_light2
280009AA = fx_object.fxl | fx_object_Interface_neighborhood_names_ikebukuro
8600001C = fx_weapon.fxl | fx_weapon_automaticrifle1_silver_bullet
B0000010 = fx_winter.fxl | partyhats_confettiA
28000628 = fx_character.fxl | fx_character_multipartite_confuse_cast
2800062F = fx_character.fxl | fx_character_delete_ability
2800009E = fx_character.fxl | viruscast_split_code_infection_code_infection4_end
2800013C = fx_character.fxl | viruscast_split_renew_rsi_renew_rsi
280001A5 = fx_character.fxl | viruscast_split_logic_cannon_logiccannon1_end
280001B6 = fx_character.fxl | viruscast_split_logic_bomb_logicbomb4_start
280001F9 = fx_character.fxl | viruscast_split_harmful_code_harmfulcode3_end
280007E8 = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs4_start
2800088F = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy2_middle
280008B8 = fx_character.fxl | viruscast_split_staticblast_staticblast3_start
2800092A = fx_character.fxl | viruscast_split_patcher_patcher_middle
860001F2 = fx_character.fxl | Emotes_eat_mero_cake_male
580000F4 = fx_dialog.fxl | Seraph_GROUPED MESSAGES_Seraph_Arrives_At_Spot
580000D7 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_QuelleBetise
5800018F = fx_dialog.fxl | Persephone_Cell Phone_Persephone_ThisIsVeryDangerousJob
580001AF = fx_dialog.fxl | Merovingian_Flirts_Merovingian_YouHaveASparkInYou
58000237 = fx_dialog.fxl | Oracle_Gives Item_Oracle_YoullBeNeedingThisTakeIt
5800032C = fx_dialog.fxl | Niobe_Intro and Recruiting_Niobe_HelloImNiobeItsAPleasureToMeetYou
DE000081 = fx_live_events.fxl | event_2_1_corrupted_v1_death_c_v1_death
28000475 = fx_object.fxl | fx_object_traffic_lights_4l2w_yellow
28000679 = fx_object.fxl | Club_moving_light3
28000159 = fx_object.fxl | fx_object_Interface_subway_highlighted_station
280009AB = fx_object.fxl | fx_object_Interface_neighborhood_names_industry_square
12000012 = fx_Pandoras_Box.fxl | Portal_portal_rings_open
860001CC = fx_sound_ambient.fxl | Defaults_Loading Area Spawner
8600001D = fx_weapon.fxl | fx_weapon_automaticrifle2_silver_bullet
28000066 = fx_character.fxl | viruscast_split_gaussian_blur_gaussianblur1_start
2800006D = fx_character.fxl | fx_character_gaussian_blur2
280000AC = fx_character.fxl | viruscast_split_code_rot_coderot1_start
28000137 = fx_character.fxl | viruscast_split_resist_combat_resistcombat1_start
280001AA = fx_character.fxl | viruscast_split_logic_cannon_logiccannon2_end
280001DE = fx_character.fxl | viruscast_split_inefficiency_field_inefficiencyfield1_start
2800021F = fx_character.fxl | viruscast_split_fumble_field_fumblefield
280007C3 = fx_character.fxl | viruscast_split_enhanced_potency_enhancedpotency_middle
280007EC = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs5_start
2800081F = fx_character.fxl | viruscast_split_deflect_virus_deflectvirus1_start
28000893 = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy3_middle
280008BC = fx_character.fxl | viruscast_split_staticblast_staticblast4_start
2800095C = fx_character.fxl | viruscast_split_quickcode_quickcode_start
04000025 = fx_character.fxl | anniv07collector
28000775 = fx_cinematic.fxl | character_creation_trace_numbers
58000124 = fx_dialog.fxl | Morpheus_Misc Lines_Morpheus_No
58000132 = fx_dialog.fxl | Niobe_GROUPED MESSAGES_Niobe_Gives_Message
